District_Name,Crop/Year,Winter/Summer,Rice,Area_Hectares,Production_Tonnes
AURANGABAD,2014,Kharif     ,Arhar/Tur,32900,8700.0
AURANGABAD,2014,Kharif     ,Bajra,45300,24200.0
AURANGABAD,2014,Kharif     ,Cotton(lint),101675,61475.0
AURANGABAD,2014,Kharif     ,Groundnut,4100,900.0
AURANGABAD,2014,Kharif     ,Jowar,3700,1700.0
AURANGABAD,2014,Kharif     ,Maize,101675,61475.0
AURANGABAD,2014,Kharif     ,Moong(Green Gram),3700,800.0
AURANGABAD,2014,Kharif     ,Niger seed,100,
AURANGABAD,2014,Kharif     ,Other Kharif pulses,100,
AURANGABAD,2014,Kharif     ,Soyabean,18700,8500.0
AURANGABAD,2014,Kharif     ,Sunflower,100,
AURANGABAD,2014,Rabi       ,Gram,41800,16300.0
AURANGABAD,2014,Rabi       ,Jowar,101675,44900.0
AURANGABAD,2014,Rabi       ,Maize,9000,11400.0
AURANGABAD,2014,Rabi       ,Other  Rabi pulses,100,
AURANGABAD,2014,Rabi       ,Safflower,600,200.0
AURANGABAD,2014,Rabi       ,Wheat,35400,33900.0
AURANGABAD,2014,Summer     ,Maize,3400,1500.0
AURANGABAD,2014,Whole Year ,Sugarcane,13900,61475.0
BEED,2014,Kharif     ,Arhar/Tur,60600,10200.0
BEED,2014,Kharif     ,Bajra,101675,56200.0
BEED,2014,Kharif     ,Castor seed,3300,700.0
BEED,2014,Kharif     ,Cotton(lint),101675,61475.0
BEED,2014,Kharif     ,Groundnut,10800,2600.0
BEED,2014,Kharif     ,Jowar,19400,10300.0
BEED,2014,Kharif     ,Maize,6200,4700.0
BEED,2014,Kharif     ,Moong(Green Gram),5000,1200.0
BEED,2014,Kharif     ,Niger seed,800,100.0
BEED,2014,Kharif     ,Other Kharif pulses,2000,400.0
BEED,2014,Kharif     ,Rice,400,100.0
BEED,2014,Kharif     ,Sesamum,2900,500.0
BEED,2014,Kharif     ,Soyabean,101675,39900.0
BEED,2014,Kharif     ,Sunflower,1700,600.0
BEED,2014,Rabi       ,Gram,64400,24000.0
BEED,2014,Rabi       ,Jowar,101675,61475.0
BEED,2014,Rabi       ,Linseed,700,100.0
BEED,2014,Rabi       ,Maize,8500,5900.0
BEED,2014,Rabi       ,Safflower,1900,300.0
BEED,2014,Rabi       ,Sunflower,500,100.0
BEED,2014,Rabi       ,Wheat,59100,40000.0
BEED,2014,Summer     ,Groundnut,1600,1000.0
BEED,2014,Summer     ,Maize,1300,600.0
BEED,2014,Whole Year ,Sugarcane,37600,61475.0
HINGOLI,2014,Kharif     ,Arhar/Tur,41100,18500.0
HINGOLI,2014,Kharif     ,Castor seed,5500,1100.0
HINGOLI,2014,Kharif     ,Cotton(lint),94700,61475.0
HINGOLI,2014,Kharif     ,Jowar,47900,19200.0
HINGOLI,2014,Kharif     ,Maize,1300,500.0
HINGOLI,2014,Kharif     ,Moong(Green Gram),16900,2100.0
HINGOLI,2014,Kharif     ,Niger seed,500,100.0
HINGOLI,2014,Kharif     ,Other Kharif pulses,100,
HINGOLI,2014,Kharif     ,Soyabean,101675,38400.0
HINGOLI,2014,Rabi       ,Gram,77300,61475.0
HINGOLI,2014,Rabi       ,Jowar,7300,5000.0
HINGOLI,2014,Rabi       ,Maize,500,100.0
HINGOLI,2014,Rabi       ,Other  Rabi pulses,200,
HINGOLI,2014,Rabi       ,Safflower,14500,5100.0
HINGOLI,2014,Rabi       ,Wheat,49500,33000.0
HINGOLI,2014,Summer     ,Groundnut,4400,4200.0
HINGOLI,2014,Summer     ,Maize,1600,1000.0
HINGOLI,2014,Whole Year ,Sugarcane,15200,4200.0
JALNA,2014,Kharif     ,Arhar/Tur,47200,11900.0
JALNA,2014,Kharif     ,Bajra,23300,7700.0
JALNA,2014,Kharif     ,Castor seed,100,
JALNA,2014,Kharif     ,Cotton(lint),101675,61475.0
JALNA,2014,Kharif     ,Groundnut,800,300.0
JALNA,2014,Kharif     ,Jowar,1100,300.0
JALNA,2014,Kharif     ,Maize,57600,32200.0
JALNA,2014,Kharif     ,Moong(Green Gram),45000,7200.0
JALNA,2014,Kharif     ,Other Kharif pulses,1000,200.0
JALNA,2014,Kharif     ,Soyabean,101675,40300.0
JALNA,2014,Kharif     ,Sunflower,100,
JALNA,2014,Rabi       ,Gram,27100,6800.0
JALNA,2014,Rabi       ,Jowar,23100,6500.0
JALNA,2014,Rabi       ,Other  Rabi pulses,100,
JALNA,2014,Rabi       ,Wheat,1900,1500.0
JALNA,2014,Summer     ,Maize,200,100.0
JALNA,2014,Whole Year ,Sugarcane,10001,30001.0
LATUR,2014,Kharif     ,Arhar/Tur,101675,28300.0
LATUR,2014,Kharif     ,Bajra,2500,400.0
LATUR,2014,Kharif     ,Castor seed,700,100.0
LATUR,2014,Kharif     ,Cotton(lint),3800,2700.0
LATUR,2014,Kharif     ,Groundnut,1700,400.0
LATUR,2014,Kharif     ,Jowar,88300,61475.0
LATUR,2014,Kharif     ,Maize,6700,4100.0
LATUR,2014,Kharif     ,Moong(Green Gram),13200,4800.0
LATUR,2014,Kharif     ,Niger seed,1200,200.0
LATUR,2014,Kharif     ,Other Kharif pulses,700,100.0
LATUR,2014,Kharif     ,Rice,5800,1100.0
LATUR,2014,Kharif     ,Sesamum,2100,300.0
LATUR,2014,Kharif     ,Soyabean,101675,61475.0
LATUR,2014,Kharif     ,Sunflower,3400,700.0
LATUR,2014,Rabi       ,Gram,67000,20000.0
LATUR,2014,Rabi       ,Jowar,22200,8100.0
LATUR,2014,Rabi       ,Linseed,500,
LATUR,2014,Rabi       ,Maize,2000,1100.0
LATUR,2014,Rabi       ,Other  Rabi pulses,400,100.0
LATUR,2014,Rabi       ,Safflower,12900,3800.0
LATUR,2014,Rabi       ,Sunflower,4000,1300.0
LATUR,2014,Rabi       ,Wheat,47200,10800.0
LATUR,2014,Summer     ,Groundnut,1500,1100.0
LATUR,2014,Whole Year ,Sugarcane,46400,61475.0
NANDED,2014,Kharif     ,Arhar/Tur,71600,14700.0
NANDED,2014,Kharif     ,Castor seed,300,100.0
NANDED,2014,Kharif     ,Cotton(lint),101675,61475.0
NANDED,2014,Kharif     ,Groundnut,100,
NANDED,2014,Kharif     ,Jowar,88300,28600.0
NANDED,2014,Kharif     ,Maize,700,300.0
NANDED,2014,Kharif     ,Moong(Green Gram),23600,3900.0
NANDED,2014,Kharif     ,Niger seed,400,
NANDED,2014,Kharif     ,Other Kharif pulses,200,
NANDED,2014,Kharif     ,Rice,800,100.0
NANDED,2014,Kharif     ,Sesamum,1300,100.0
NANDED,2014,Kharif     ,Soyabean,101675,61475.0
NANDED,2014,Kharif     ,Sunflower,1300,300.0
NANDED,2014,Rabi       ,Gram,51200,25700.0
NANDED,2014,Rabi       ,Jowar,25600,13000.0
NANDED,2014,Rabi       ,Maize,200,100.0
NANDED,2014,Rabi       ,Other  Rabi pulses,100,
NANDED,2014,Rabi       ,Safflower,3100,900.0
NANDED,2014,Rabi       ,Sesamum,100,
NANDED,2014,Rabi       ,Wheat,39500,29200.0
NANDED,2014,Summer     ,Groundnut,5000,4300.0
NANDED,2014,Summer     ,Maize,3000,3500.0
NANDED,2014,Whole Year ,Sugarcane,18800,61475.0
OSMANABAD,2014,Kharif     ,Arhar/Tur,101000,28600.0
OSMANABAD,2014,Kharif     ,Bajra,17700,4400.0
OSMANABAD,2014,Kharif     ,Castor seed,1300,300.0
OSMANABAD,2014,Kharif     ,Cotton(lint),29300,23000.0
OSMANABAD,2014,Kharif     ,Groundnut,7100,1900.0
OSMANABAD,2014,Kharif     ,Jowar,45300,12000.0
OSMANABAD,2014,Kharif     ,Maize,21200,8000.0
OSMANABAD,2014,Kharif     ,Moong(Green Gram),15600,3400.0
OSMANABAD,2014,Kharif     ,Niger seed,3400,500.0
OSMANABAD,2014,Kharif     ,Other Kharif pulses,2100,100.0
OSMANABAD,2014,Kharif     ,Rice,13100,2500.0
OSMANABAD,2014,Kharif     ,Sesamum,5400,600.0
OSMANABAD,2014,Kharif     ,Soyabean,101675,61475.0
OSMANABAD,2014,Kharif     ,Sunflower,14300,3500.0
OSMANABAD,2014,Rabi       ,Gram,101675,48700.0
OSMANABAD,2014,Rabi       ,Jowar,101675,61475.0
OSMANABAD,2014,Rabi       ,Linseed,4900,1100.0
OSMANABAD,2014,Rabi       ,Maize,2700,1600.0
OSMANABAD,2014,Rabi       ,Other  Rabi pulses,1100,200.0
OSMANABAD,2014,Rabi       ,Safflower,28300,8000.0
OSMANABAD,2014,Rabi       ,Sunflower,15800,4900.0
OSMANABAD,2014,Rabi       ,Wheat,24100,7100.0
OSMANABAD,2014,Summer     ,Groundnut,1900,800.0
OSMANABAD,2014,Summer     ,Maize,1300,
OSMANABAD,2014,Summer     ,Sunflower,500,200.0
OSMANABAD,2014,Whole Year ,Sugarcane,39800,61475.0
